#E,eV        Sig,b        Interpolation
 0.979764    4.75611      Lin-Lin
 1.04355     4.75596      Lin-Lin
 1.16731     4.75567      Lin-Lin
 1.87954     4.75401      Lin-Lin
 1.97395     4.75379      Lin-Lin
 2.05868     4.7536       Lin-Lin
 2.20806     4.75326      Lin-Lin
 2.88146     4.75176      Lin-Lin
 3.02634     4.75144      Lin-Lin
 3.20077     4.75105      Lin-Lin
 4.77821     4.74759      Lin-Lin
 4.83872     4.74759      Lin-Lin
 5.01132     4.74758      Lin-Lin
 5.22643     4.74758      Lin-Lin
 7.84603     4.74752      Lin-Lin
 8.12549     4.74751      Lin-Lin
 9.81744     4.74749      Lin-Lin
 10.1671     4.74748      Lin-Lin
 19.6409     4.7474       Lin-Lin
 20.0585     4.7474       Lin-Lin
 20.6284     4.74739      Lin-Lin
 49.5135     4.74725      Lin-Lin
 50.2121     4.74725      Lin-Lin
 56.1672     4.74722      Lin-Lin
 79.7241     4.74713      Lin-Lin
 84.3193     4.74711      Lin-Lin
 99.7559     4.74706      Lin-Lin
 110.811     4.74702      Lin-Lin
 199.582     4.74671      Lin-Lin
 203.816     4.74669      Lin-Lin
 499.611     4.7457       Lin-Lin
 798.853     4.74471      Lin-Lin
 999.576     4.74404      Lin-Lin
 1999.76     4.74073      Lin-Lin
 5006.21     4.73079      Lin-Lin
 8000        4.72089      Lin-Lin
 10000       4.71428      Lin-Lin
 20141.1     4.68077      Lin-Lin
 81700.9     4.47731      Lin-Lin
 100705      4.4145       Lin-Lin
 104398      4.4023       Lin-Lin
 192524      4.13986      Lin-Lin
 200000      4.11974      Lin-Lin
 285884      3.88861      Lin-Lin
 300000      3.85408      Lin-Lin
 367404      3.68924      Lin-Lin
 402822      3.60923      Lin-Lin
 444327      3.51547      Lin-Lin
 503527      3.38937      Lin-Lin
 523013      3.34787      Lin-Lin
 616928      3.16713      Lin-Lin
 621402      3.15852      Lin-Lin
 763116      2.9106       Lin-Lin
 882430      2.72723      Lin-Lin
 894881      2.70809      Lin-Lin
 1.02126E+06 2.5337       Lin-Lin
 1.02842E+06 2.52481      Lin-Lin
 1.14892E+06 2.37504      Lin-Lin
 1.26764E+06 2.24117      Lin-Lin
 1.3944E+06  2.11188      Lin-Lin
 1.40811E+06 2.0993       Lin-Lin
 1.53189E+06 1.98575      Lin-Lin
 1.54262E+06 1.97689      Lin-Lin
 1.65707E+06 1.88232      Lin-Lin
 1.76234E+06 1.80481      Lin-Lin
 1.77469E+06 1.79572      Lin-Lin
 1.8761E+06  1.72876      Lin-Lin
 1.93858E+06 1.69261      Lin-Lin
 1.98125E+06 1.67201      Lin-Lin
 2E+06       1.66764      Lin-Lin
 2.01411E+06 1.67144      Lin-Lin
 2.01875E+06 1.67269      Lin-Lin
 2.025E+06   1.6798       Lin-Lin
 2.03281E+06 1.69841      Lin-Lin
 2.0375E+06  1.71861      Lin-Lin
 2.04062E+06 1.73977      Lin-Lin
 2.04375E+06 1.77072      Lin-Lin
 2.04609E+06 1.80463      Lin-Lin
 2.04766E+06 1.83422      Lin-Lin
 2.04844E+06 1.85096      Lin-Lin
 2.05E+06    1.89345      Lin-Lin
 2.05156E+06 1.94886      Lin-Lin
 2.05273E+06 2.00259      Lin-Lin
 2.05352E+06 2.04562      Lin-Lin
 2.0543E+06  2.09607      Lin-Lin
 2.05508E+06 2.1556       Lin-Lin
 2.05547E+06 2.18846      Lin-Lin
 2.05625E+06 2.26556      Lin-Lin
 2.05723E+06 2.38391      Lin-Lin
 2.05781E+06 2.46974      Lin-Lin
 2.0584E+06  2.56982      Lin-Lin
 2.05898E+06 2.68583      Lin-Lin
 2.05957E+06 2.82207      Lin-Lin
 2.05996E+06 2.92539      Lin-Lin
 2.06035E+06 3.04026      Lin-Lin
 2.06074E+06 3.16797      Lin-Lin
 2.06113E+06 3.30984      Lin-Lin
 2.06152E+06 3.46716      Lin-Lin
 2.06191E+06 3.64105      Lin-Lin
 2.0623E+06  3.83232      Lin-Lin
 2.0627E+06  4.04121      Lin-Lin
 2.06309E+06 4.26707      Lin-Lin
 2.06367E+06 4.63678      Lin-Lin
 2.06484E+06 5.39271      Lin-Lin
 2.06523E+06 5.61976      Lin-Lin
 2.06562E+06 5.81288      Lin-Lin
 2.06592E+06 5.92676      Lin-Lin
 2.06621E+06 6.0072       Lin-Lin
 2.0665E+06  6.05134      Lin-Lin
 2.0667E+06  6.05951      Lin-Lin
 2.06699E+06 6.03962      Lin-Lin
 2.06729E+06 5.98222      Lin-Lin
 2.06758E+06 5.88949      Lin-Lin
 2.06797E+06 5.72082      Lin-Lin
 2.06836E+06 5.51376      Lin-Lin
 2.06875E+06 5.28033      Lin-Lin
 2.07012E+06 4.42159      Lin-Lin
 2.0707E+06  4.08687      Lin-Lin
 2.07109E+06 3.88381      Lin-Lin
 2.07148E+06 3.6976       Lin-Lin
 2.07188E+06 3.52772      Lin-Lin
 2.07227E+06 3.37356      Lin-Lin
 2.07266E+06 3.23415      Lin-Lin
 2.07305E+06 3.10809      Lin-Lin
 2.07344E+06 2.99437      Lin-Lin
 2.07402E+06 2.84434      Lin-Lin
 2.07461E+06 2.71487      Lin-Lin
 2.0752E+06  2.60372      Lin-Lin
 2.07578E+06 2.50721      Lin-Lin
 2.07637E+06 2.42372      Lin-Lin
 2.07734E+06 2.30747      Lin-Lin
 2.07812E+06 2.23083      Lin-Lin
 2.07891E+06 2.16589      Lin-Lin
 2.07969E+06 2.11047      Lin-Lin
 2.08086E+06 2.04193      Lin-Lin
 2.08203E+06 1.98574      Lin-Lin
 2.08281E+06 1.95441      Lin-Lin
 2.08438E+06 1.90236      Lin-Lin
 2.08594E+06 1.86116      Lin-Lin
 2.0875E+06  1.82803      Lin-Lin
 2.08984E+06 1.78969      Lin-Lin
 2.09219E+06 1.76117      Lin-Lin
 2.09375E+06 1.74395      Lin-Lin
 2.09688E+06 1.7185       Lin-Lin
 2.1E+06     1.69919      Lin-Lin
 2.10625E+06 1.67193      Lin-Lin
 2.1125E+06  1.6536       Lin-Lin
 2.125E+06   1.63014      Lin-Lin
 2.14375E+06 1.60958      Lin-Lin
 2.175E+06   1.58772      Lin-Lin
 2.23104E+06 1.56304      Lin-Lin
 2.26587E+06 1.55199      Lin-Lin
 2.3E+06     1.54116      Lin-Lin
 2.36658E+06 1.52938      Lin-Lin
 2.4E+06     1.52587      Lin-Lin
 2.45E+06    1.52618      Lin-Lin
 2.5E+06     1.53324      Lin-Lin
 2.53527E+06 1.54421      Lin-Lin
 2.55E+06    1.54879      Lin-Lin
 2.5875E+06  1.56795      Lin-Lin
 2.625E+06   1.59399      Lin-Lin
 2.65E+06    1.61698      Lin-Lin
 2.675E+06   1.64524      Lin-Lin
 2.7E+06     1.67995      Lin-Lin
 2.725E+06   1.72273      Lin-Lin
 2.75E+06    1.77586      Lin-Lin
 2.76875E+06 1.82507      Lin-Lin
 2.7875E+06  1.88329      Lin-Lin
 2.80312E+06 1.94416      Lin-Lin
 2.80938E+06 1.97493      Lin-Lin
 2.8125E+06  1.992        Lin-Lin
 2.81641E+06 2.02379      Lin-Lin
 2.81797E+06 2.04364      Lin-Lin
 2.81914E+06 2.06352      Lin-Lin
 2.82031E+06 2.09456      Lin-Lin
 2.82129E+06 2.13707      Lin-Lin
 2.82188E+06 2.17691      Lin-Lin
 2.82227E+06 2.21399      Lin-Lin
 2.82266E+06 2.26349      Lin-Lin
 2.82295E+06 2.31304      Lin-Lin
 2.82324E+06 2.37873      Lin-Lin
 2.82344E+06 2.43466      Lin-Lin
 2.82363E+06 2.50399      Lin-Lin
 2.82383E+06 2.58974      Lin-Lin
 2.82397E+06 2.66879      Lin-Lin
 2.82412E+06 2.76436      Lin-Lin
 2.82427E+06 2.88016      Lin-Lin
 2.82436E+06 2.97076      Lin-Lin
 2.82446E+06 3.07464      Lin-Lin
 2.82456E+06 3.19262      Lin-Lin
 2.82466E+06 3.32696      Lin-Lin
 2.82476E+06 3.48014      Lin-Lin
 2.82485E+06 3.65194      Lin-Lin
 2.82495E+06 3.84322      Lin-Lin
 2.82505E+06 4.05361      Lin-Lin
 2.82534E+06 4.73186      Lin-Lin
 2.82544E+06 4.93399      Lin-Lin
 2.82551E+06 5.062        Lin-Lin
 2.82559E+06 5.15948      Lin-Lin
 2.82566E+06 5.21997      Lin-Lin
 2.82573E+06 5.23926      Lin-Lin
 2.82581E+06 5.21648      Lin-Lin
 2.82588E+06 5.1527       Lin-Lin
 2.82595E+06 5.05248      Lin-Lin
 2.82603E+06 4.92376      Lin-Lin
