#E,eV        Sig,b        Interpolation
 695.979     5.96615      Lin-Lin
 699.485     5.87285      Lin-Lin
 702.992     5.76587      Lin-Lin
 706.498     5.65896      Lin-Lin
 708.836     5.58773      Lin-Lin
 711.173     5.50725      Lin-Lin
 713.511     5.42682      Lin-Lin
 715.848     5.34643      Lin-Lin
 718.186     5.2661       Lin-Lin
 720.523     5.17596      Lin-Lin
 722.861     5.0859       Lin-Lin
 725.198     4.99592      Lin-Lin
 727.536     4.90602      Lin-Lin
 729.873     4.80716      Lin-Lin
 732.211     4.70842      Lin-Lin
 734.549     4.6098       Lin-Lin
 737.178     4.49903      Lin-Lin
 738.055     4.46217      Lin-Lin
 738.932     4.42474      Lin-Lin
 740.685     4.35         Lin-Lin
 742.438     4.27538      Lin-Lin
 744.191     4.2009       Lin-Lin
 745.944     4.12657      Lin-Lin
 746.821     4.0895       Lin-Lin
 747.697     4.05594      Lin-Lin
 749.451     3.98903      Lin-Lin
 750.327     3.95569      Lin-Lin
 751.204     3.92774      Lin-Lin
 752.957     3.87211      Lin-Lin
 753.833     3.84443      Lin-Lin
 754.272     3.83455      Lin-Lin
 755.587     3.8051       Lin-Lin
 756.463     3.78561      Lin-Lin
 756.901     3.78008      Lin-Lin
 758.216     3.76373      Lin-Lin
 759.531     3.75943      Lin-Lin
 759.677     3.75899      Lin-Lin
 760.846     3.76933      Lin-Lin
 761.211     3.77266      Lin-Lin
 762.161     3.79442      Lin-Lin
 762.745     3.808        Lin-Lin
 763.476     3.83768      Lin-Lin
 764.206     3.86762      Lin-Lin
 764.791     3.90321      Lin-Lin
 765.521     3.948        Lin-Lin
 766.106     3.99737      Lin-Lin
 766.836     4.05943      Lin-Lin
 767.42      4.12228      Lin-Lin
 767.742     4.15699      Lin-Lin
 768.297     4.22975      Lin-Lin
 768.677     4.2797       Lin-Lin
 769.174     4.35872      Lin-Lin
 769.612     4.42865      Lin-Lin
 770.021     4.50735      Lin-Lin
 770.547     4.6088       Lin-Lin
 770.839     4.67475      Lin-Lin
 771.423     4.80693      Lin-Lin
 771.657     4.86909      Lin-Lin
 772.242     5.02487      Lin-Lin
 772.475     5.09731      Lin-Lin
 773.06      5.2788       Lin-Lin
 773.294     5.36142      Lin-Lin
 773.673     5.49596      Lin-Lin
 774.112     5.66937      Lin-Lin
 774.287     5.73888      Lin-Lin
 774.901     6.01062      Lin-Lin
 774.93      6.02508      Lin-Lin
 775.514     6.31477      Lin-Lin
 775.748     6.44426      Lin-Lin
 776.128     6.65511      Lin-Lin
 776.566     6.9271       Lin-Lin
 776.741     7.03612      Lin-Lin
 777.355     7.46297      Lin-Lin
 777.384     7.48573      Lin-Lin
 777.969     7.94184      Lin-Lin
 778.202     8.14636      Lin-Lin
 778.582     8.47927      Lin-Lin
 778.816     8.70921      Lin-Lin
 779.196     9.0834       Lin-Lin
 779.43      9.34223      Lin-Lin
 779.809     9.76346      Lin-Lin
 780.043     10.0494      Lin-Lin
 780.219     10.2642      Lin-Lin
 780.628     10.8071      Lin-Lin
 780.657     10.8491      Lin-Lin
 781.037     11.3964      Lin-Lin
 781.27      11.7618      Lin-Lin
 781.446     12.0363      Lin-Lin
 781.855     12.732       Lin-Lin
 781.884     12.786       Lin-Lin
 782.264     13.4894      Lin-Lin
 782.498     13.9606      Lin-Lin
 782.673     14.3145      Lin-Lin
 783.082     15.2145      Lin-Lin
 783.082     15.2145      Lin-Lin
 783.491     16.1976      Lin-Lin
 783.652     16.619       Lin-Lin
 783.9       17.2712      Lin-Lin
 784.222     18.188       Lin-Lin
 784.251     18.2714      Lin-Lin
 784.689     19.6403      Lin-Lin
 784.791     19.9937      Lin-Lin
 785.127     21.1567      Lin-Lin
 785.361     22.053       Lin-Lin
 785.566     22.8384      Lin-Lin
 785.887     24.2082      Lin-Lin
 786.004     24.707       Lin-Lin
 786.325     26.2327      Lin-Lin
 786.442     26.7881      Lin-Lin
 786.764     28.4821      Lin-Lin
 786.837     28.8675      Lin-Lin
 787.202     30.9979      Lin-Lin
 787.231     31.1685      Lin-Lin
 787.626     33.7208      Lin-Lin
 787.64      33.8258      Lin-Lin
 788.02      36.5588      Lin-Lin
 788.078     37.0184      Lin-Lin
 788.283     38.6289      Lin-Lin
 788.438     39.9617      Lin-Lin
 788.66      41.8749      Lin-Lin
 788.797     43.1845      Lin-Lin
 789.002     45.1371      Lin-Lin
 789.157     46.7696      Lin-Lin
 789.344     48.7431      Lin-Lin
 789.516     50.7575      Lin-Lin
 789.686     52.7398      Lin-Lin
 789.875     55.2059      Lin-Lin
 790.027     57.1806      Lin-Lin
 790.147     58.8815      Lin-Lin
 790.255     60.4179      Lin-Lin
 790.451     63.4156      Lin-Lin
 790.498     64.1322      Lin-Lin
 790.755     68.4059      Lin-Lin
 791.012     73.0643      Lin-Lin
 791.059     73.9884      Lin-Lin
 791.269     78.1506      Lin-Lin
 791.328     79.4117      Lin-Lin
 791.515     83.4513      Lin-Lin
 791.678     87.2976      Lin-Lin
 791.748     88.9477      Lin-Lin
 791.912     93.1358      Lin-Lin
 791.982     94.9321      Lin-Lin
 792.146     99.4995      Lin-Lin
 792.216     101.459      Lin-Lin
 792.38      106.449      Lin-Lin
 792.45      108.589      Lin-Lin
 792.613     114.052      Lin-Lin
 792.683     116.395      Lin-Lin
 792.847     122.387      Lin-Lin
 792.917     124.957      Lin-Lin
 793.081     131.543      Lin-Lin
 793.151     134.368      Lin-Lin
 793.315     141.621      Lin-Lin
 793.385     144.733      Lin-Lin
 793.548     152.741      Lin-Lin
 793.618     156.176      Lin-Lin
 793.782     165.036      Lin-Lin
 793.852     168.836      Lin-Lin
 794.016     178.534      Lin-Lin
 794.028     179.227      Lin-Lin
 794.203     190.473      Lin-Lin
 794.25      193.72       Lin-Lin
 794.378     202.659      Lin-Lin
 794.483     210.59       Lin-Lin
 794.554     215.882      Lin-Lin
 794.717     229.291      Lin-Lin
 794.729     230.25       Lin-Lin
 794.892     244.842      Lin-Lin
 794.904     245.885      Lin-Lin
 795.068     261.785      Lin-Lin
 795.079     262.922      Lin-Lin
 795.243     280.271      Lin-Lin
 795.255     281.511      Lin-Lin
 795.418     300.465      Lin-Lin
 795.43      301.82       Lin-Lin
 795.594     322.555      Lin-Lin
 795.605     324.037      Lin-Lin
 795.769     346.744      Lin-Lin
 795.781     348.368      Lin-Lin
 795.944     373.261      Lin-Lin
 795.956     375.041      Lin-Lin
 796.12      402.355      Lin-Lin
 796.131     404.308      Lin-Lin
 796.295     434.297      Lin-Lin
 796.307     436.44       Lin-Lin
 796.47      469.378      Lin-Lin
 796.482     471.733      Lin-Lin
 796.646     507.91       Lin-Lin
 796.657     510.496      Lin-Lin
 796.821     550.213      Lin-Lin
 796.833     553.052      Lin-Lin
 796.996     596.611      Lin-Lin
 797.008     599.725      Lin-Lin
 797.172     647.417      Lin-Lin
 797.183     650.826      Lin-Lin
 797.347     702.909      Lin-Lin
 797.359     706.632      Lin-Lin
 797.522     763.305      Lin-Lin
 797.534     767.355      Lin-Lin
 797.698     828.724      Lin-Lin
 797.709     833.11       Lin-Lin
 797.885     903.86       Lin-Lin
 797.931     924.151      Lin-Lin
 798.109     1001.55      Lin-Lin
 798.223     1054.68      Lin-Lin
 798.387     1130.99      Lin-Lin
 798.82      1340.84      Lin-Lin
 798.948     1403.2       Lin-Lin
 799.012     1432.19      Lin-Lin
 799.182     1508.56      Lin-Lin
 799.205     1517.96      Lin-Lin
 799.357     1578.98      Lin-Lin
 799.381     1587         Lin-Lin
 799.532     1639.03      Lin-Lin
 799.556     1645.35      Lin-Lin
 799.673     1676.84      Lin-Lin
 799.708     1686.27      Lin-Lin
 799.822     1707.75      Lin-Lin
 799.874     1717.36      Lin-Lin
 799.972     1728.8       Lin-Lin
 799.981     1729.88      Lin-Lin
 799.995     1730.51      Lin-Lin
 800.115     1735.83      Lin-Lin
 800.14      1736.96      Lin-Lin
 800.234     1734.17      Lin-Lin
 800.257     1733.46      Lin-Lin
 800.374     1722.78      Lin-Lin
 800.409     1717.06      Lin-Lin
 800.549     1694.08      Lin-Lin
 800.584     1685.62      Lin-Lin
 800.725     1651.69      Lin-Lin
 800.76      1640.93      Lin-Lin
 800.9       1597.82      Lin-Lin
 800.935     1585.25      Lin-Lin
 801.075     1534.93      Lin-Lin
 801.169     1497.42      Lin-Lin
 801.329     1432.9       Lin-Lin
 801.841     1215.24      Lin-Lin
 802.007     1144.38      Lin-Lin
 802.11      1103.57      Lin-Lin
 802.262     1042.97      Lin-Lin
 802.314     1023.48      Lin-Lin
 802.501     954.235      Lin-Lin
 802.525     946.249      Lin-Lin
 802.712     882.407      Lin-Lin
 802.735     875.066      Lin-Lin
 802.922     816.384      Lin-Lin
 802.945     809.674      Lin-Lin
 803.132     756.035      Lin-Lin
 803.156     749.924      Lin-Lin
 803.343     701.078      Lin-Lin
 803.366     695.526      Lin-Lin
 803.553     651.146      Lin-Lin
 803.576     646.054      Lin-Lin
 803.717     615.528      Lin-Lin
 803.787     601.37       Lin-Lin
 803.88      582.509      Lin-Lin
 803.997     560.638      Lin-Lin
 804.044     551.897      Lin-Lin
 804.208     524.023      Lin-Lin
 804.289     510.097      Lin-Lin
 804.418     490.511      Lin-Lin
 804.535     472.718      Lin-Lin
 804.57      467.933      Lin-Lin
 804.734     445.613      Lin-Lin
 804.78      439.239      Lin-Lin
 804.897     424.746      Lin-Lin
 804.967     416.055      Lin-Lin
 805.061     405.413      Lin-Lin
 805.178     392.121      Lin-Lin
 805.306     378.739      Lin-Lin
 805.388     370.23       Lin-Lin
 805.552     354.628      Lin-Lin
 805.598     350.174      Lin-Lin
 805.797     332.786      Lin-Lin
 805.809     331.763      Lin-Lin
 805.984     317.654      Lin-Lin
 806.019     314.834      Lin-Lin
 806.171     303.568      Lin-Lin
 806.23      299.237      Lin-Lin
 806.452     284.329      Lin-Lin
 806.545     278.056      Lin-Lin
 806.732     266.716      Lin-Lin
 806.779     263.883      Lin-Lin
 807.013     250.849      Lin-Lin
 807.013     250.849      Lin-Lin
 807.293     236.719      Lin-Lin
 807.363     233.189      Lin-Lin
 807.527     225.864      Lin-Lin
 807.714     217.497      Lin-Lin
 807.761     215.63       Lin-Lin
 807.994     206.295      Lin-Lin
 808.065     203.497      Lin-Lin
 808.228     197.641      Lin-Lin
 808.415     190.954      Lin-Lin
 808.579     185.646      Lin-Lin
 808.71      181.384      Lin-Lin
 808.929     174.868      Lin-Lin
 809.005     172.61       Lin-Lin
 809.163     168.386      Lin-Lin
 809.448     160.764      Lin-Lin
 809.45      160.729      Lin-Lin
 809.736     153.938      Lin-Lin
 809.891     150.267      Lin-Lin
 810.022     147.484      Lin-Lin
 810.309     141.428      Lin-Lin
 810.333     140.903      Lin-Lin
 810.595     135.951      Lin-Lin
 810.776     132.522      Lin-Lin
 811.024     128.285      Lin-Lin
 811.182     125.595      Lin-Lin
 811.454     121.386      Lin-Lin
 811.588     119.305      Lin-Lin
 811.834     115.838      Lin-Lin
 811.995     113.569      Lin-Lin
 812.214     110.736      Lin-Lin
 812.401     108.32       Lin-Lin
 812.594     106.077      Lin-Lin
 812.973     101.66       Lin-Lin
 813.01      101.236      Lin-Lin
 813.353     97.7033      Lin-Lin
 813.619     94.9689      Lin-Lin
 813.733     93.9265      Lin-Lin
 814.113     90.454       Lin-Lin
 814.23      89.386       Lin-Lin
 814.493     87.2391      Lin-Lin
 814.843     84.378       Lin-Lin
 814.902     83.9501      Lin-Lin
 815.311     80.9562      Lin-Lin
 815.457     79.8876      Lin-Lin
 815.925     76.8056      Lin-Lin
 816.071     75.8432      Lin-Lin
 816.538     73.0562      Lin-Lin
 816.684     72.1858      Lin-Lin
 817.152     69.656       Lin-Lin
 817.298     68.8659      Lin-Lin
 817.765     66.5952      Lin-Lin
 818.116     64.8932      Lin-Lin
 818.379     63.7586      Lin-Lin
 818.934     61.3647      Lin-Lin
 818.993     61.1395      Lin-Lin
 819.606     58.7767      Lin-Lin
 819.752     58.2144      Lin-Lin
 820.22      56.5989      Lin-Lin
 820.57      55.3878      Lin-Lin
 820.833     54.5686      Lin-Lin
 821.389     52.8401      Lin-Lin
 821.447     52.6753      Lin-Lin
 821.856     51.5223      Lin-Lin
 822.207     50.5344      Lin-Lin
 822.674     49.3637      Lin-Lin
 823.434     47.4624      Lin-Lin
 823.492     47.3347      Lin-Lin
 824.311     45.5474      Lin-Lin
 824.661     44.7818      Lin-Lin
 825.012     44.1103      Lin-Lin
 825.713     42.7681      Lin-Lin
 825.888     42.4326      Lin-Lin
 826.648     41.1402      Lin-Lin
 827.116     40.3453      Lin-Lin
 827.583     39.637       Lin-Lin
 828.343     38.4866      Lin-Lin
 828.489     38.2882      Lin-Lin
 829.365     37.0978      Lin-Lin
 829.57      36.8202      Lin-Lin
 830.242     36.0015      Lin-Lin
 830.826     35.2898      Lin-Lin
 831.119     34.9712      Lin-Lin
 831.995     34.016       Lin-Lin
 832.141     33.8568      Lin-Lin
 832.872     33.147       Lin-Lin
 833.748     32.2956      Lin-Lin
 833.894     32.1537      Lin-Lin
 835.063     31.1576      Lin-Lin
 835.648     30.6598      Lin-Lin
 836.378     30.1093      Lin-Lin
 837.401     29.339       Lin-Lin
 837.693     29.1432      Lin-Lin
 839.008     28.2629      Lin-Lin
 839.154     28.1651      Lin-Lin
 840.323     27.4648      Lin-Lin
 840.907     27.1148      Lin-Lin
 841.638     26.7311      Lin-Lin
 842.952     26.0406      Lin-Lin
 843.537     25.7339      Lin-Lin
 844.267     25.4034      Lin-Lin
 845.582     24.8087      Lin-Lin
 846.167     24.5445      Lin-Lin
 846.897     24.2571      Lin-Lin
 848.212     23.7401      Lin-Lin
 848.796     23.5103      Lin-Lin
 849.965     23.1073      Lin-Lin
