#E,eV        Sig,b        Interpolation
 5004.88     1.21464      Lin-Lin
 5039.49     1.21392      Lin-Lin
 5074.1      1.21321      Lin-Lin
 5108.7      1.2125       Lin-Lin
 5143.31     1.2124       Lin-Lin
 5160.62     1.21235      Lin-Lin
 5177.92     1.21268      Lin-Lin
 5203.87     1.21319      Lin-Lin
 5229.83     1.21369      Lin-Lin
 5255.79     1.2142       Lin-Lin
 5281.74     1.21472      Lin-Lin
 5307.7      1.21525      Lin-Lin
 5325        1.21561      Lin-Lin
 5333.65     1.21579      Lin-Lin
 5342.3      1.21645      Lin-Lin
 5359.61     1.21779      Lin-Lin
 5376.91     1.21913      Lin-Lin
 5394.22     1.22048      Lin-Lin
 5411.52     1.22183      Lin-Lin
 5420.17     1.22251      Lin-Lin
 5437.48     1.22388      Lin-Lin
 5437.48     1.22388      Lin-Lin
 5454.78     1.22672      Lin-Lin
 5474.25     1.22993      Lin-Lin
 5487.22     1.23207      Lin-Lin
 5500.2      1.23423      Lin-Lin
 5511.02     1.23604      Lin-Lin
 5513.18     1.23666      Lin-Lin
 5526.16     1.24039      Lin-Lin
 5539.14     1.24413      Lin-Lin
 5552.11     1.24789      Lin-Lin
 5562.93     1.25104      Lin-Lin
 5565.09     1.25201      Lin-Lin
 5578.07     1.25781      Lin-Lin
 5587.8      1.26219      Lin-Lin
 5597.54     1.26657      Lin-Lin
 5601.86     1.26853      Lin-Lin
 5607.27     1.27194      Lin-Lin
 5617        1.27809      Lin-Lin
 5626.74     1.28426      Lin-Lin
 5627.82     1.28495      Lin-Lin
 5636.47     1.29232      Lin-Lin
 5646.2      1.30064      Lin-Lin
 5653.77     1.30715      Lin-Lin
 5655.94     1.30969      Lin-Lin
 5662.42     1.31734      Lin-Lin
 5672.16     1.32886      Lin-Lin
 5678.65     1.33658      Lin-Lin
 5679.73     1.33787      Lin-Lin
 5685.14     1.34658      Lin-Lin
 5691.62     1.35708      Lin-Lin
 5698.11     1.36761      Lin-Lin
 5699.19     1.36937      Lin-Lin
 5704.6      1.38047      Lin-Lin
 5711.09     1.39385      Lin-Lin
 5712.17     1.39608      Lin-Lin
 5717.58     1.40976      Lin-Lin
 5724.07     1.42622      Lin-Lin
 5725.15     1.42898      Lin-Lin
 5730.56     1.44605      Lin-Lin
 5735.42     1.46147      Lin-Lin
 5738.13     1.47007      Lin-Lin
 5740.29     1.47846      Lin-Lin
 5745.16     1.4974       Lin-Lin
 5747.86     1.50796      Lin-Lin
 5750.02     1.5181       Lin-Lin
 5754.89     1.541        Lin-Lin
 5757.6      1.55376      Lin-Lin
 5759.76     1.56617      Lin-Lin
 5764.62     1.59419      Lin-Lin
 5767.33     1.60981      Lin-Lin
 5769.17     1.62241      Lin-Lin
 5773.55     1.65254      Lin-Lin
 5773.82     1.6544       Lin-Lin
 5777.93     1.68719      Lin-Lin
 5780.31     1.70625      Lin-Lin
 5782.31     1.72482      Lin-Lin
 5786.58     1.76462      Lin-Lin
 5786.69     1.7658       Lin-Lin
 5790.96     1.81239      Lin-Lin
 5792.64     1.83075      Lin-Lin
 5795.01     1.86132      Lin-Lin
 5798.69     1.90874      Lin-Lin
 5799.07     1.91438      Lin-Lin
 5801.77     1.95476      Lin-Lin
 5803.23     1.97663      Lin-Lin
 5804.48     1.99783      Lin-Lin
 5807.18     2.04405      Lin-Lin
 5807.78     2.05425      Lin-Lin
 5809.88     2.09573      Lin-Lin
 5812.53     2.14804      Lin-Lin
 5813.4      2.1679       Lin-Lin
 5816.64     2.24265      Lin-Lin
 5817.29     2.25767      Lin-Lin
 5819.89     2.3266       Lin-Lin
 5820.86     2.35254      Lin-Lin
 5822.05     2.3884       Lin-Lin
 5824.21     2.45378      Lin-Lin
 5824.43     2.46034      Lin-Lin
 5826.38     2.52731      Lin-Lin
 5827.89     2.57955      Lin-Lin
 5828.54     2.60495      Lin-Lin
 5830.49     2.68134      Lin-Lin
 5831.14     2.70688      Lin-Lin
 5832.43     2.76488      Lin-Lin
 5834.38     2.85213      Lin-Lin
 5834.38     2.85213      Lin-Lin
 5836.33     2.95208      Lin-Lin
 5837.62     3.01892      Lin-Lin
 5838.27     3.0564       Lin-Lin
 5839.79     3.14414      Lin-Lin
 5840.22     3.17173      Lin-Lin
 5841.95     3.28242      Lin-Lin
 5842.17     3.2977       Lin-Lin
 5844.11     3.43563      Lin-Lin
 5846.06     3.58817      Lin-Lin
 5846.38     3.61613      Lin-Lin
 5847.9      3.74704      Lin-Lin
 5848.01     3.75642      Lin-Lin
 5849.41     3.89089      Lin-Lin
 5849.95     3.94277      Lin-Lin
 5850.93     4.0461       Lin-Lin
 5851.9      4.14974      Lin-Lin
 5852.44     4.21369      Lin-Lin
 5853.85     4.38045      Lin-Lin
 5853.96     4.39474      Lin-Lin
 5855.47     4.59552      Lin-Lin
 5855.79     4.63868      Lin-Lin
 5856.81     4.78997      Lin-Lin
 5857.74     4.92886      Lin-Lin
 5858.56     5.06682      Lin-Lin
 5859.69     5.25634      Lin-Lin
 5860.31     5.37525      Lin-Lin
 5861.48     5.59739      Lin-Lin
 5861.5      5.60151      Lin-Lin
 5862.65     5.8439       Lin-Lin
 5862.87     5.88977      Lin-Lin
 5863.82     6.11094      Lin-Lin
 5864.23     6.20673      Lin-Lin
 5864.99     6.40066      Lin-Lin
 5865.59     6.55628      Lin-Lin
 5866.22     6.73394      Lin-Lin
 5866.95     6.94294      Lin-Lin
 5867.52     7.11863      Lin-Lin
 5868.17     7.32207      Lin-Lin
 5868.81     7.54511      Lin-Lin
 5869.38     7.73912      Lin-Lin
 5870.11     8.01803      Lin-Lin
 5870.59     8.19913      Lin-Lin
 5871.19     8.45327      Lin-Lin
 5871.8      8.70832      Lin-Lin
 5872.49     9.03195      Lin-Lin
 5873.1      9.31606      Lin-Lin
 5873.36     9.45223      Lin-Lin
 5874.22     9.90735      Lin-Lin
 5874.4      9.99864      Lin-Lin
 5875.09     10.4005      Lin-Lin
 5875.26     10.5012      Lin-Lin
 5875.95     10.9373      Lin-Lin
 5876.13     11.0467      Lin-Lin
 5876.82     11.521       Lin-Lin
 5876.99     11.6399      Lin-Lin
 5877.68     12.1567      Lin-Lin
 5877.86     12.2864      Lin-Lin
 5878.55     12.8508      Lin-Lin
 5878.72     12.9924      Lin-Lin
 5879.41     13.6101      Lin-Lin
 5879.59     13.765       Lin-Lin
 5880.28     14.4427      Lin-Lin
 5880.45     14.6126      Lin-Lin
 5881.14     15.3576      Lin-Lin
 5881.32     15.5445      Lin-Lin
 5882.01     16.3655      Lin-Lin
 5882.18     16.5714      Lin-Lin
 5882.87     17.4782      Lin-Lin
 5883.05     17.7057      Lin-Lin
 5883.74     18.7096      Lin-Lin
 5883.91     18.9615      Lin-Lin
 5884.6      20.0754      Lin-Lin
 5884.78     20.3548      Lin-Lin
 5885.25     21.2059      Lin-Lin
 5885.64     21.9042      Lin-Lin
 5885.9      22.414       Lin-Lin
 5886.29     23.181       Lin-Lin
 5886.55     23.7343      Lin-Lin
 5886.94     24.5667      Lin-Lin
 5887.2      25.1678      Lin-Lin
 5887.59     26.072       Lin-Lin
 5887.85     26.7253      Lin-Lin
 5888.24     27.7081      Lin-Lin
 5888.5      28.4183      Lin-Lin
 5888.89     29.4868      Lin-Lin
 5889.15     30.259       Lin-Lin
 5889.54     31.4207      Lin-Lin
 5889.8      32.2599      Lin-Lin
 5890.19     33.5225      Lin-Lin
 5890.44     34.4339      Lin-Lin
 5890.83     35.8049      Lin-Lin
 5891.09     36.7933      Lin-Lin
 5891.48     38.28        Lin-Lin
 5891.74     39.3498      Lin-Lin
 5892.13     40.9588      Lin-Lin
 5892.39     42.1136      Lin-Lin
 5892.78     43.8502      Lin-Lin
 5893.04     45.0923      Lin-Lin
 5893.43     46.9601      Lin-Lin
 5893.69     48.3042      Lin-Lin
 5894.29     51.4489      Lin-Lin
 5894.55     52.9062      Lin-Lin
 5895.16     56.3155      Lin-Lin
 5895.42     57.8757      Lin-Lin
 5896.02     61.5242      Lin-Lin
 5896.28     63.1821      Lin-Lin
 5897.32     69.8258      Lin-Lin
 5897.58     71.5191      Lin-Lin
 5899.42     83.5172      Lin-Lin
 5899.49     83.9395      Lin-Lin
 5900.39     89.3895      Lin-Lin
 5900.52     90.165       Lin-Lin
 5901.26     94.069       Lin-Lin
 5901.3      94.2975      Lin-Lin
 5901.91     97.0494      Lin-Lin
 5902        97.4401      Lin-Lin
 5902.56     99.5223      Lin-Lin
 5902.64     99.8398      Lin-Lin
 5903.21     101.4        Lin-Lin
 5903.29     101.637      Lin-Lin
 5903.85     102.635      Lin-Lin
 5903.92     102.755      Lin-Lin
 5904.5      103.152      Lin-Lin
 5904.62     103.226      Lin-Lin
 5904.66     103.229      Lin-Lin
 5904.68     103.229      Lin-Lin
 5905.27     102.872      Lin-Lin
 5905.39     102.797      Lin-Lin
 5905.89     101.918      Lin-Lin
