#E,eV        Sig,b        Interpolation
 0.78302     0.765935     Lin-Lin
 0.8637      0.760112     Lin-Lin
 0.952693    0.754547     Lin-Lin
 1.03624     0.750017     Lin-Lin
 1.05086     0.749247     Lin-Lin
 1.15913     0.744318     Lin-Lin
 1.27857     0.739622     Lin-Lin
 1.4103      0.735146     Lin-Lin
 1.55562     0.73088      Lin-Lin
 1.7159      0.726814     Lin-Lin
 1.89271     0.722937     Lin-Lin
 2.08772     0.71924      Lin-Lin
 2.30284     0.715714     Lin-Lin
 2.54012     0.71235      Lin-Lin
 2.80184     0.70914      Lin-Lin
 3.09053     0.706075     Lin-Lin
 3.40897     0.703149     Lin-Lin
 3.76022     0.700353     Lin-Lin
 4.14767     0.697681     Lin-Lin
 4.57503     0.695126     Lin-Lin
 5.04642     0.69268      Lin-Lin
 5.56639     0.690339     Lin-Lin
 6.13994     0.688094     Lin-Lin
 6.77258     0.685942     Lin-Lin
 7.4704      0.683874     Lin-Lin
 8.24013     0.681887     Lin-Lin
 9.08917     0.679973     Lin-Lin
 10.0257     0.678128     Lin-Lin
 11.0587     0.676346     Lin-Lin
 12.1982     0.674622     Lin-Lin
 13.455      0.672949     Lin-Lin
 14.8414     0.671323     Lin-Lin
 16.3706     0.669738     Lin-Lin
 18.0574     0.668189     Lin-Lin
 19.918      0.66667      Lin-Lin
 21.9702     0.665176     Lin-Lin
 24.234      0.663701     Lin-Lin
 26.731      0.662238     Lin-Lin
 29.4853     0.660781     Lin-Lin
 32.2971     0.659427     Lin-Lin
 35.6249     0.657963     Lin-Lin
 39.0203     0.656591     Lin-Lin
 42.7415     0.655201     Lin-Lin
 46.8152     0.653787     Lin-Lin
 51.2797     0.652342     Lin-Lin
 56.1672     0.650858     Lin-Lin
 61.5235     0.649327     Lin-Lin
 67.3873     0.647741     Lin-Lin
 73.8137     0.646091     Lin-Lin
 80.8489     0.644369     Lin-Lin
 87.9387     0.642704     Lin-Lin
 96.3249     0.640811     Lin-Lin
 104.772     0.638972     Lin-Lin
 113.959     0.637032     Lin-Lin
 118.851     0.636028     Lin-Lin
 123.953     0.635163     Lin-Lin
 133.878     0.633531     Lin-Lin
 144.605     0.631815     Lin-Lin
 157.286     0.629837     Lin-Lin
 169.88      0.627917     Lin-Lin
 183.492     0.625887     Lin-Lin
 198.184     0.623734     Lin-Lin
 212.564     0.621662     Lin-Lin
 229.596     0.619245     Lin-Lin
 244.531     0.617154     Lin-Lin
 262.274     0.614696     Lin-Lin
 271.629     0.613416     Lin-Lin
 281.304     0.612369     Lin-Lin
 299.617     0.61041      Lin-Lin
 321.357     0.608112     Lin-Lin
 339.878     0.606174     Lin-Lin
 359.468     0.60414      Lin-Lin
 382.85      0.60173      Lin-Lin
 404.917     0.599475     Lin-Lin
 430.836     0.596843     Lin-Lin
 455.668     0.594339     Lin-Lin
 458.86      0.59409      Lin-Lin
 485.308     0.592041     Lin-Lin
 513.032     0.589908     Lin-Lin
 545.672     0.587412     Lin-Lin
 576.334     0.585082     Lin-Lin
 612.132     0.582375     Lin-Lin
 647.414     0.579719     Lin-Lin
 682.845     0.577064     Lin-Lin
 722.203     0.574835     Lin-Lin
 761.727     0.572606     Lin-Lin
 803.413     0.570265     Lin-Lin
 842.65      0.56807      Lin-Lin
 883.755     0.565777     Lin-Lin
 926.915     0.563377     Lin-Lin
 967.524     0.561124     Lin-Lin
 972.13      0.560933     Lin-Lin
 1019.61     0.558964     Lin-Lin
 1069.34     0.556908     Lin-Lin
 1121.57     0.554755     Lin-Lin
 1176.28     0.552505     Lin-Lin
 1233.72     0.550148     Lin-Lin
 1293.91     0.547684     Lin-Lin
 1324        0.546454     Lin-Lin
 1357.1      0.54545      Lin-Lin
 1423.3      0.543446     Lin-Lin
 1492.81     0.541347     Lin-Lin
 1565.63     0.539152     Lin-Lin
 1633.36     0.537114     Lin-Lin
 1705.87     0.534935     Lin-Lin
 1774.67     0.53287      Lin-Lin
 1787.1      0.532498     Lin-Lin
 1837.88     0.531374     Lin-Lin
 1906.77     0.529851     Lin-Lin
 1986.92     0.528082     Lin-Lin
 2073.97     0.526162     Lin-Lin
 2162.39     0.524215     Lin-Lin
 2254.72     0.522183     Lin-Lin
 2345.54     0.520187     Lin-Lin
 2404.18     0.518899     Lin-Lin
 2450.46     0.518147     Lin-Lin
 2557.03     0.516417     Lin-Lin
