#E,eV        Sig,b        Interpolation
 0.150966    1.18128      Lin-Lin
 0.163054    1.17284      Lin-Lin
 0.167687    1.17005      Lin-Lin
 0.179855    1.16271      Lin-Lin
 0.184965    1.16004      Lin-Lin
 0.198386    1.15303      Lin-Lin
 0.202604    1.15112      Lin-Lin
 0.218827    1.14377      Lin-Lin
 0.226633    1.1407       Lin-Lin
 0.241375    1.13492      Lin-Lin
 0.248234    1.13258      Lin-Lin
 0.266245    1.12646      Lin-Lin
 0.273811    1.12423      Lin-Lin
 0.293678    1.11838      Lin-Lin
 0.306284    1.11516      Lin-Lin
 0.323938    1.11065      Lin-Lin
 0.333143    1.10862      Lin-Lin
 0.357316    1.10328      Lin-Lin
 0.377911    1.09935      Lin-Lin
 0.396913    1.09572      Lin-Lin
 0.41105     1.09337      Lin-Lin
 0.422731    1.09143      Lin-Lin
 0.437809    1.08907      Lin-Lin
 0.447096    1.08781      Lin-Lin
 0.48292     1.08295      Lin-Lin
 0.514332    1.07927      Lin-Lin
 0.532679    1.07712      Lin-Lin
 0.551652    1.07521      Lin-Lin
 0.587564    1.07158      Lin-Lin
 0.639089    1.06709      Lin-Lin
 0.648105    1.06631      Lin-Lin
 0.690262    1.06316      Lin-Lin
 0.714884    1.06132      Lin-Lin
 0.740347    1.05968      Lin-Lin
 0.794067    1.05621      Lin-Lin
 0.875885    1.05167      Lin-Lin
 0.966133    1.04733      Lin-Lin
 1.02903     1.04473      Lin-Lin
 1.06568     1.04321      Lin-Lin
 1.13506     1.04074      Lin-Lin
 1.17549     1.03929      Lin-Lin
 1.21741     1.038        Lin-Lin
 1.2966      1.03557      Lin-Lin
 1.4302      1.03201      Lin-Lin
 1.48122     1.03085      Lin-Lin
 1.56659     1.0289       Lin-Lin
 1.57757     1.02865      Lin-Lin
 1.74011     1.02543      Lin-Lin
 1.91941     1.02236      Lin-Lin
 2.03004     1.02072      Lin-Lin
 2.11718     1.01943      Lin-Lin
 2.33533     1.01665      Lin-Lin
 2.50478     1.01478      Lin-Lin
 2.57595     1.014        Lin-Lin
 2.64915     1.0133       Lin-Lin
 2.84137     1.01148      Lin-Lin
 3.11233     1.00926      Lin-Lin
 3.24593     1.0083       Lin-Lin
 3.40897     1.00712      Lin-Lin
 3.43302     1.00697      Lin-Lin
 3.73407     1.00508      Lin-Lin
 4.11881     1.00298      Lin-Lin
 4.20618     1.00256      Lin-Lin
 4.44862     1.00142      Lin-Lin
 4.5432      1.00098      Lin-Lin
 5.01132     0.999074     Lin-Lin
 5.48895     0.997394     Lin-Lin
 5.52767     0.997258     Lin-Lin
 6.05452     0.995662     Lin-Lin
 6.72547     0.993899     Lin-Lin
 7.11311     0.993014     Lin-Lin
 7.36648     0.992439     Lin-Lin
 7.79107     0.991597     Lin-Lin
 8.06897     0.991046     Lin-Lin
 8.90038     0.989606     Lin-Lin
 9.81744     0.988239     Lin-Lin
 9.95595     0.988059     Lin-Lin
 10.6784     0.987128     Lin-Lin
 10.829      0.986933     Lin-Lin
 11.9448     0.985692     Lin-Lin
 12.0285     0.985613     Lin-Lin
 13.3614     0.98435      Lin-Lin
 14.6349     0.983306     Lin-Lin
 15.4784     0.982697     Lin-Lin
 15.9183     0.982381     Lin-Lin
 17.3142     0.981494     Lin-Lin
 19.0982     0.980496     Lin-Lin
 20.0585     0.980033     Lin-Lin
 21.066      0.97955      Lin-Lin
 23.2366     0.978645     Lin-Lin
 25.9924     0.977662     Lin-Lin
 26.1757     0.977597     Lin-Lin
 29.0751     0.976724     Lin-Lin
 31.8478     0.975997     Lin-Lin
 33.6834     0.975571     Lin-Lin
 34.6406     0.975349     Lin-Lin
 37.9422     0.974672     Lin-Lin
 41.8516     0.973975     Lin-Lin
 43.6481     0.973695     Lin-Lin
 46.1639     0.973304     Lin-Lin
 50.5663     0.972711     Lin-Lin
 53.8554     0.972306     Lin-Lin
 56.5634     0.972002     Lin-Lin
 58.1706     0.971823     Lin-Lin
 63.2717     0.971315     Lin-Lin
 68.8201     0.970821     Lin-Lin
 73.2966     0.970463     Lin-Lin
 74.8551     0.970339     Lin-Lin
 82.5679     0.969794     Lin-Lin
 90.4375     0.969299     Lin-Lin
 97.6838     0.968896     Lin-Lin
 100.46      0.968753     Lin-Lin
 106.25      0.968457     Lin-Lin
 116.377     0.967993     Lin-Lin
 123.953     0.967679     Lin-Lin
 126.582     0.96757      Lin-Lin
 136.724     0.967188     Lin-Lin
 147.672     0.966808     Lin-Lin
 160.622     0.966396     Lin-Lin
 161.755     0.96636      Lin-Lin
 177.172     0.965919     Lin-Lin
 192.708     0.96551      Lin-Lin
 199.582     0.965344     Lin-Lin
 212.564     0.965031     Lin-Lin
 231.204     0.964616     Lin-Lin
 251.479     0.964197     Lin-Lin
 271.629     0.963807     Lin-Lin
 293.379     0.96341      Lin-Lin
 299.617     0.963302     Lin-Lin
 316.886     0.963005     Lin-Lin
 347.089     0.962514     Lin-Lin
 349.537     0.962476     Lin-Lin
 377.526     0.962047     Lin-Lin
 410.632     0.961565     Lin-Lin
 449.791     0.961024     Lin-Lin
 459.332     0.960893     Lin-Lin
 503.136     0.96032      Lin-Lin
 543.423     0.959813     Lin-Lin
 582.854     0.959331     Lin-Lin
 599.416     0.959135     Lin-Lin
 620.797     0.958881     Lin-Lin
 665.842     0.958359     Lin-Lin
 714.155     0.957813     Lin-Lin
 755.318     0.957358     Lin-Lin
 765.974     0.957241     Lin-Lin
 815.798     0.956702     Lin-Lin
 868.906     0.956137     Lin-Lin
 938.481     0.95541      Lin-Lin
 999.576     0.954784     Lin-Lin
 1013.68     0.954639     Lin-Lin
 1100.16     0.953768     Lin-Lin
 1179.99     0.952976     Lin-Lin
 1269.98     0.952094     Lin-Lin
 1277.49     0.952021     Lin-Lin
 1379.78     0.951033     Lin-Lin
 1477.59     0.950098     Lin-Lin
 1573.78     0.949186     Lin-Lin
 1645.69     0.94851      Lin-Lin
 1668.75     0.948293     Lin-Lin
 1764.33     0.947401     Lin-Lin
 1873.03     0.946392     Lin-Lin
 1969.28     0.945503     Lin-Lin
 2000        0.945221     Lin-Lin
 2082.78     0.944461     Lin-Lin
 2223.21     0.943178     Lin-Lin
 2381.67     0.941738     Lin-Lin
 2554.49     0.940175     Lin-Lin
 2694.68     0.938913     Lin-Lin
