#E,eV        Sig,b        Interpolation
 1E-05       62.9985      Lin-Lin
 1.10304E-05 59.9944      Lin-Lin
 1.21669E-05 57.1345      Lin-Lin
 1.34206E-05 54.412       Lin-Lin
 1.48034E-05 51.8203      Lin-Lin
 1.63286E-05 49.3533      Lin-Lin
 1.80111E-05 47.0049      Lin-Lin
 1.98669E-05 44.7696      Lin-Lin
 2.19139E-05 42.6419      Lin-Lin
 2.41719E-05 40.6167      Lin-Lin
 2.66625E-05 38.6893      Lin-Lin
 2.94097E-05 36.8548      Lin-Lin
 3.244E-05   35.1089      Lin-Lin
 3.57825E-05 33.4475      Lin-Lin
 3.94694E-05 31.8665      Lin-Lin
 4.35362E-05 30.3621      Lin-Lin
 4.80221E-05 28.9306      Lin-Lin
 5.29701E-05 27.5712      Lin-Lin
 5.33438E-05 27.4779      Lin-Lin
 5.8428E-05  26.2774      Lin-Lin
 5.92523E-05 26.1006      Lin-Lin
 6.44482E-05 25.0463      Lin-Lin
 6.58185E-05 24.7938      Lin-Lin
 7.10888E-05 23.8748      Lin-Lin
 7.31088E-05 23.5552      Lin-Lin
 7.84136E-05 22.7604      Lin-Lin
 8.12106E-05 22.3802      Lin-Lin
 8.64931E-05 21.7002      Lin-Lin
 9.02058E-05 21.2668      Lin-Lin
 9.54051E-05 20.6918      Lin-Lin
 0.000100202 20.211       Lin-Lin
 0.000105235 19.7329      Lin-Lin
 0.000111301 19.2109      Lin-Lin
 0.000116078 18.821       Lin-Lin
 0.000123635 18.2628      Lin-Lin
 0.000128039 17.9542      Lin-Lin
 0.000137329 17.3651      Lin-Lin
 0.000141232 17.1302      Lin-Lin
 0.000152548 16.5144      Lin-Lin
 0.000155784 16.3472      Lin-Lin
 0.000169444 15.7093      Lin-Lin
 0.000171835 15.6032      Lin-Lin
 0.000188222 14.9467      Lin-Lin
 0.00018954  14.8965      Lin-Lin
 0.00020907  14.2253      Lin-Lin
 0.000230612 13.5905      Lin-Lin
 0.000232239 13.547       Lin-Lin
 0.000254374 12.9877      Lin-Lin
 0.000257962 12.9055      Lin-Lin
 0.000280584 12.4164      Lin-Lin
 0.000288556 12.2604      Lin-Lin
 0.000309494 11.8737      Lin-Lin
 0.000322779 11.6519      Lin-Lin
 0.000341383 11.3585      Lin-Lin
 0.00036106  11.0784      Lin-Lin
 0.000376558 10.8697      Lin-Lin
 0.000403881 10.5379      Lin-Lin
 0.000415358 10.406       Lin-Lin
 0.000451781 10.0289      Lin-Lin
 0.000458155 9.96652      Lin-Lin
 0.000505362 9.55066      Lin-Lin
 0.000508927 9.52229      Lin-Lin
 0.000557433 9.15935      Lin-Lin
 0.000573273 9.05246      Lin-Lin
 0.000614869 8.7881       Lin-Lin
 0.000645785 8.61121      Lin-Lin
 0.000678223 8.43638      Lin-Lin
 0.000732566 8.17322      Lin-Lin
 0.000748105 8.10229      Lin-Lin
 0.000825188 7.78685      Lin-Lin
 0.000831009 7.7654       Lin-Lin
 0.000910213 7.49183      Lin-Lin
 0.000949283 7.37064      Lin-Lin
 0.001004    7.21128      Lin-Lin
 0.00108444  7.00142      Lin-Lin
 0.00110745  6.94495      Lin-Lin
 0.00122155  6.69479      Lin-Lin
 0.00124753  6.64373      Lin-Lin
 0.00134742  6.46001      Lin-Lin
 0.00144519  6.29929      Lin-Lin
 0.00148625  6.23598      Lin-Lin
 0.00163939  6.02573      Lin-Lin
 0.00168598  5.96855      Lin-Lin
 0.00180831  5.82828      Lin-Lin
 0.00198076  5.65223      Lin-Lin
 0.00199463  5.63895      Lin-Lin
 0.00220016  5.4645       Lin-Lin
 0.0023598   5.34395      Lin-Lin
 0.00242685  5.29658      Lin-Lin
 0.00267691  5.14014      Lin-Lin
 0.0028312   5.05438      Lin-Lin
 0.00295273  4.99129      Lin-Lin
 0.00325697  4.85168      Lin-Lin
 0.00346899  4.76542      Lin-Lin
 0.00359256  4.71852      Lin-Lin
 0.00396272  4.59466      Lin-Lin
 0.00434062  4.48286      Lin-Lin
 0.00437103  4.47445      Lin-Lin
 0.00482141  4.36496      Lin-Lin
 0.00531819  4.25853      Lin-Lin
 0.00554647  4.21532      Lin-Lin
 0.00586616  4.15901      Lin-Lin
 0.00647059  4.06554      Lin-Lin
 0.0071373   3.97481      Lin-Lin
 0.00734011  3.95045      Lin-Lin
 0.00787271  3.89109      Lin-Lin
 0.00868389  3.81188      Lin-Lin
 0.00957865  3.73516      Lin-Lin
 0.0101307   3.6935       Lin-Lin
 0.0105656   3.66299      Lin-Lin
 0.0116543   3.59626      Lin-Lin
 0.0128551   3.53186      Lin-Lin
 0.0141796   3.46959      Lin-Lin
 0.0148926   3.44015      Lin-Lin
 0.0156406   3.41149      Lin-Lin
 0.0172522   3.3577       Lin-Lin
 0.0190298   3.30596      Lin-Lin
 0.0209906   3.25613      Lin-Lin
 0.0231534   3.20807      Lin-Lin
 0.0239793   3.19186      Lin-Lin
 0.0252419   3.1682       Lin-Lin
 0.0253      3.16718      Lin-Lin
 0.0279068   3.12604      Lin-Lin
 0.0307823   3.08661      Lin-Lin
 0.033954    3.04877      Lin-Lin
 0.0374525   3.01241      Lin-Lin
 0.0413115   2.97745      Lin-Lin
 0.0455681   2.94381      Lin-Lin
 0.0481946   2.92569      Lin-Lin
 0.0502633   2.91246      Lin-Lin
 0.0554423   2.88382      Lin-Lin
 0.0611549   2.85649      Lin-Lin
 0.0674561   2.83036      Lin-Lin
 0.0744066   2.80535      Lin-Lin
 0.0820732   2.78139      Lin-Lin
 0.0905297   2.75843      Lin-Lin
 0.0998577   2.73641      Lin-Lin
 0.110147    2.71525      Lin-Lin
 0.121496    2.69488      Lin-Lin
 0.124948    2.68947      Lin-Lin
